Feature 0:
X = 854937.406388, Y = 2098188.113021
X = 854134.224649, Y = 2097773.636936
X = 853224.573214, Y = 2097201.581965
X = 852375.431257, Y = 2095812.171336
X = 851773.983020, Y = 2095956.372672
X = 851161.879005, Y = 2095302.137197
X = 849800.630822, Y = 2094769.121378
X = 850048.514753, Y = 2095281.143631
X = 849638.899792, Y = 2096179.914343
X = 849663.271483, Y = 2097621.268644
X = 848331.261947, Y = 2098969.470226
X = 847063.076417, Y = 2099324.529256
X = 845520.718957, Y = 2100581.004035
X = 843891.491453, Y = 2101328.626602
X = 842612.855668, Y = 2101568.757948
X = 841596.968325, Y = 2102219.670292
X = 841022.258000, Y = 2103027.557947
X = 838524.408850, Y = 2104151.920522
X = 837137.342338, Y = 2105770.261844
X = 835852.659965, Y = 2106369.170086
X = 835451.925493, Y = 2106118.392749
X = 834286.028294, Y = 2106557.219446
X = 833824.596670, Y = 2106460.950853
X = 832803.757692, Y = 2107064.811692
X = 831995.451101, Y = 2106942.053336
X = 831132.675329, Y = 2107345.922439
X = 830416.100722, Y = 2107130.185827
X = 830008.236782, Y = 2107636.931596
X = 828776.269389, Y = 2108189.866632
X = 828608.862743, Y = 2110006.277434
X = 827876.879188, Y = 2111386.537148
X = 827426.863242, Y = 2111378.540626
X = 826743.199914, Y = 2112942.295207
X = 825832.161923, Y = 2113189.933440
X = 824775.777563, Y = 2116938.461914
X = 825006.748361, Y = 2118782.182401
X = 824850.697436, Y = 2119246.095246
X = 825151.359277, Y = 2119691.036998
X = 825142.258423, Y = 2120204.894530
X = 825550.018751, Y = 2120408.261201
X = 825535.385190, Y = 2121233.140661
X = 825081.948912, Y = 2121069.542280
X = 825321.880061, Y = 2122399.426811
X = 826010.623873, Y = 2123784.646403
X = 825802.330093, Y = 2124294.965674
X = 826093.354243, Y = 2125274.087923
X = 826175.359474, Y = 2127162.569373
X = 826572.317751, Y = 2127960.987542
X = 826455.966526, Y = 2129798.596147
X = 826742.330092, Y = 2130669.454368
X = 826576.358472, Y = 2131687.785393
X = 826670.030678, Y = 2132555.201524
X = 827320.482988, Y = 2133892.534588
X = 827340.753289, Y = 2135624.393595
X = 827538.662641, Y = 2136047.299284
X = 827515.973020, Y = 2138021.885998
X = 827249.768051, Y = 2139254.848174
X = 827204.073509, Y = 2139653.082872
X = 827694.702723, Y = 2140575.023138
X = 827736.047935, Y = 2141130.394291
X = 827619.398672, Y = 2142257.831664
X = 826218.250128, Y = 2145201.841948
X = 826266.105559, Y = 2146109.035266
X = 825345.734511, Y = 2146606.519523
X = 825387.589146, Y = 2147134.834300
X = 825027.524455, Y = 2147885.892181
X = 824347.678329, Y = 2148577.109340
X = 824997.282229, Y = 2149569.490061
X = 824891.092642, Y = 2150122.199048
X = 824492.269937, Y = 2150175.909494
X = 824285.036955, Y = 2150638.878986
X = 824275.072681, Y = 2151551.785223
X = 823758.401544, Y = 2151738.663006
X = 823532.906064, Y = 2153222.606188
X = 822855.952424, Y = 2155198.964822
X = 823338.682014, Y = 2156898.506666
X = 823235.337385, Y = 2157295.703556
X = 822317.281311, Y = 2157698.593922
X = 821401.185381, Y = 2157634.879897
X = 820487.928577, Y = 2158132.627363
X = 820535.917294, Y = 2159039.780419
X = 820007.237829, Y = 2159916.379037
X = 819792.380536, Y = 2160818.853647
X = 819122.744078, Y = 2161692.958745
X = 819272.319689, Y = 2162297.555198
X = 819726.770743, Y = 2162704.675977
X = 819717.565886, Y = 2163942.216704
X = 819349.475353, Y = 2164449.684506
X = 819496.205872, Y = 2164851.336612
X = 818582.579714, Y = 2165031.233189
X = 818618.125467, Y = 2165917.864887
X = 819074.407302, Y = 2166216.801312
X = 818918.704030, Y = 2166680.705835
X = 818405.279603, Y = 2166712.161708
X = 818557.370043, Y = 2167533.231215
X = 818396.159481, Y = 2168308.154202
X = 817666.024234, Y = 2169357.037068
X = 817599.457443, Y = 2170580.020480
X = 816520.422341, Y = 2172157.038794
X = 816302.673156, Y = 2173235.310979
X = 815779.796507, Y = 2174538.137348
X = 814976.445624, Y = 2174672.742940
X = 812427.976575, Y = 2175669.492442
X = 812057.971782, Y = 2177042.684495
X = 812444.657299, Y = 2178375.019571
X = 811927.582112, Y = 2178636.487053
X = 811762.675029, Y = 2180006.504252
X = 811304.328852, Y = 2179842.937718
X = 811005.300594, Y = 2180459.913018
X = 810600.195396, Y = 2180182.322457
X = 810232.291900, Y = 2180710.186083
X = 809800.843019, Y = 2183049.425042
X = 808827.264419, Y = 2184161.901624
X = 808868.023164, Y = 2184764.511222
X = 809778.063775, Y = 2185091.450318
X = 809660.819894, Y = 2186306.745191
X = 809855.068976, Y = 2187284.007710
X = 809428.019485, Y = 2189007.884613
X = 809774.603667, Y = 2189325.035047
X = 809827.025236, Y = 2189988.728318
X = 810780.263288, Y = 2190756.120800
X = 810769.351010, Y = 2191378.134551
X = 811225.008482, Y = 2191676.949904
X = 811929.781895, Y = 2191642.007521
X = 812378.020950, Y = 2192360.044423
X = 813288.984563, Y = 2192971.308823
X = 813680.425580, Y = 2193999.499118
X = 814377.917045, Y = 2194370.338261
X = 814521.743147, Y = 2194920.726665
X = 815384.327232, Y = 2195003.725801
X = 815272.914821, Y = 2195867.453903
X = 816276.767579, Y = 2196994.598972
X = 817026.171377, Y = 2198029.325165
X = 817421.231848, Y = 2198124.349972
X = 817931.019864, Y = 2198600.210711
X = 819043.333201, Y = 2199019.338029
X = 820302.844216, Y = 2199082.737717
X = 820711.521454, Y = 2198779.028180
X = 822479.146953, Y = 2199054.737948
X = 822308.534685, Y = 2200336.753393
X = 822402.161809, Y = 2201515.378411
X = 823310.403789, Y = 2201883.740600
X = 823447.340992, Y = 2202440.897042
X = 824258.706446, Y = 2202854.888572
X = 824248.497565, Y = 2203409.348718
X = 824798.233643, Y = 2204129.704615
X = 825404.942259, Y = 2204188.258762
X = 825243.596622, Y = 2204956.381058
X = 825538.184949, Y = 2205631.474625
X = 826046.158389, Y = 2205837.043291
X = 826089.165472, Y = 2206967.452017
X = 826480.232690, Y = 2207265.570474
X = 826583.018775, Y = 2207930.369790
X = 827285.513123, Y = 2207990.791484
X = 827223.494632, Y = 2208916.335281
X = 828193.033491, Y = 2208717.970753
X = 828077.588565, Y = 2209419.299372
X = 828736.407134, Y = 2210101.291600
X = 828971.307017, Y = 2210876.828940
X = 830031.685285, Y = 2211965.523121
X = 831033.733393, Y = 2212072.350017
X = 831601.691648, Y = 2211460.745593
X = 831651.559288, Y = 2211529.333720
X = 831798.974162, Y = 2212526.509173
X = 832086.101256, Y = 2213573.689124
X = 832423.524141, Y = 2215000.652939
X = 832353.899484, Y = 2215973.433905
X = 832295.960412, Y = 2216330.857696
X = 832643.948731, Y = 2217196.577810
X = 832427.179320, Y = 2218173.327026
X = 832124.847861, Y = 2218607.280418
X = 831089.088337, Y = 2220299.061847
X = 830417.214525, Y = 2221348.367204
X = 829498.147227, Y = 2221953.325054
X = 829234.039209, Y = 2223078.005370
X = 828370.032659, Y = 2223481.109681
X = 827894.301144, Y = 2224649.161377
X = 826858.989587, Y = 2226354.618632
X = 826399.083972, Y = 2226345.991232
X = 825938.478236, Y = 2226716.163253
X = 825770.794041, Y = 2228505.561554
X = 824609.375914, Y = 2231852.439002
X = 824852.073304, Y = 2232878.382662
X = 824366.738763, Y = 2235263.852400
X = 823966.749810, Y = 2235479.593073
X = 823799.694761, Y = 2235875.561577
X = 823931.282892, Y = 2237717.897045
X = 824314.979628, Y = 2239050.879814
X = 824487.620457, Y = 2241759.842298
X = 826141.909810, Y = 2243407.683163
X = 827391.525050, Y = 2244500.124693
X = 828295.252716, Y = 2244977.283354
X = 829161.237750, Y = 2245088.486370
Feature 1:
X = 757434.846245, Y = 2276341.383128
X = 757032.135863, Y = 2276024.285794
X = 756636.426666, Y = 2276085.913663
X = 756390.106725, Y = 2275108.633956
X = 756098.574185, Y = 2274171.246452
X = 756252.642969, Y = 2273666.505271
X = 756010.338580, Y = 2273263.969567
X = 756214.023409, Y = 2272847.864838
X = 757115.805770, Y = 2273016.964405
X = 757528.004108, Y = 2272712.196828
X = 758342.393082, Y = 2272765.104093
X = 758240.805099, Y = 2271904.927078
X = 757006.142878, Y = 2270155.471793
X = 756233.326972, Y = 2270718.501657
X = 755028.690464, Y = 2270348.867815
X = 754109.383350, Y = 2270490.629257
X = 754115.632866, Y = 2270071.559595
X = 753723.832457, Y = 2269862.901662
X = 753313.962405, Y = 2270012.299788
X = 752722.426712, Y = 2269097.594507
X = 752204.924784, Y = 2270063.457031
X = 751730.051262, Y = 2271165.170802
X = 751326.816440, Y = 2270868.511780
X = 750831.732872, Y = 2269887.697682
X = 749876.758814, Y = 2270292.819615
X = 748514.485895, Y = 2269806.427803
X = 748310.153413, Y = 2269404.585447
X = 747914.644820, Y = 2269446.151574
X = 747100.515601, Y = 2268927.304444
X = 747136.762226, Y = 2269941.882689
X = 746740.978419, Y = 2270003.751210
X = 746588.063642, Y = 2270447.719867
X = 746196.548563, Y = 2269333.366833
X = 744477.536342, Y = 2268395.997041
X = 744021.228335, Y = 2268680.150606
X = 743615.596112, Y = 2268539.147109
X = 743215.078984, Y = 2268932.279960
X = 742758.792521, Y = 2268770.293956
X = 742606.651992, Y = 2269166.976802
X = 742746.473638, Y = 2269635.417359
X = 741528.457467, Y = 2270192.722036
X = 740860.945681, Y = 2271008.002153
X = 741444.840033, Y = 2272496.732243
X = 742252.846986, Y = 2272994.944072
X = 742601.858894, Y = 2273973.381107
X = 743059.256339, Y = 2274047.513199
X = 743249.646086, Y = 2274536.970100
X = 743653.872021, Y = 2274765.845018
X = 745811.556520, Y = 2275702.787553
X = 746678.853104, Y = 2275607.187959
X = 747073.678152, Y = 2276478.254344
X = 747925.063177, Y = 2276598.824756
X = 748269.865777, Y = 2277401.595181
X = 749882.225202, Y = 2278155.383702
X = 750779.618733, Y = 2279033.973576
X = 750880.752320, Y = 2279082.792789
X = 752393.166529, Y = 2280119.324297
X = 753192.739738, Y = 2280286.739057
X = 753600.958378, Y = 2280231.992101
X = 754213.648070, Y = 2280126.232165
X = 756351.355445, Y = 2278941.452760
X = 756344.955777, Y = 2278522.182446
X = 757172.781951, Y = 2277669.310212
X = 757434.846245, Y = 2276341.383128
Feature 2:
X = 710001.620203, Y = 2315999.270915
X = 712130.145201, Y = 2315404.376263
X = 712929.568543, Y = 2315461.879625
X = 713840.136977, Y = 2315270.754756
X = 715305.659526, Y = 2315384.241842
X = 716316.463933, Y = 2315302.692660
X = 717582.591193, Y = 2314636.465479
X = 719367.320893, Y = 2314146.120466
X = 720535.283602, Y = 2313235.464060
X = 721099.861642, Y = 2312330.396518
X = 722066.485577, Y = 2311768.659516
X = 722572.768379, Y = 2310957.488808
X = 723598.611399, Y = 2310727.837376
X = 724360.617190, Y = 2309805.218572
X = 726044.292286, Y = 2308388.078137
X = 727889.736651, Y = 2305844.398513
X = 728764.644419, Y = 2304132.575962
X = 728842.120309, Y = 2302646.480432
X = 728052.118240, Y = 2300911.989878
X = 727299.068180, Y = 2300192.010756
X = 727150.735128, Y = 2299879.058521
X = 726459.465553, Y = 2298342.044879
X = 725403.084445, Y = 2296996.208112
X = 724598.602981, Y = 2297249.070468
X = 723736.966044, Y = 2297021.282426
X = 721840.866543, Y = 2295684.840620
X = 720979.124751, Y = 2295457.204910
X = 720033.130371, Y = 2294376.837134
X = 719668.991415, Y = 2294993.942023
X = 718461.304862, Y = 2294471.283741
X = 717957.046060, Y = 2294620.213204
X = 717145.902605, Y = 2294406.957979
X = 716648.884484, Y = 2294488.426874
X = 716297.985251, Y = 2294085.124710
X = 715479.626835, Y = 2294432.871268
X = 714680.567157, Y = 2294267.207133
X = 714329.619836, Y = 2293863.950668
X = 713510.787591, Y = 2294252.337936
X = 712301.026227, Y = 2293878.818010
X = 711531.307701, Y = 2295423.703644
X = 710810.440117, Y = 2296124.352796
X = 710715.691671, Y = 2296582.776271
X = 710088.307339, Y = 2297440.076292
X = 710184.177502, Y = 2297907.642542
X = 710178.685889, Y = 2298346.906602
X = 709575.965575, Y = 2299272.116127
X = 709767.753408, Y = 2299693.564756
X = 709950.013939, Y = 2301892.508702
X = 709588.677166, Y = 2302327.325255
X = 709777.294173, Y = 2302998.821757
X = 709775.350162, Y = 2303154.254128
X = 709728.943157, Y = 2303816.054528
X = 708899.157699, Y = 2305130.452076
X = 708691.937587, Y = 2305952.463281
X = 707861.486289, Y = 2307334.477935
X = 706596.885772, Y = 2307873.051189
X = 705888.093755, Y = 2308682.139141
X = 704971.536831, Y = 2308826.336500
X = 704567.426305, Y = 2308625.383463
X = 704009.714961, Y = 2309037.618337
X = 703037.171805, Y = 2310134.221960
X = 702630.783984, Y = 2311170.140341
X = 702817.728138, Y = 2311990.220636
X = 702711.281858, Y = 2312387.696208
X = 703057.052076, Y = 2313723.380423
X = 703557.364486, Y = 2313837.616859
X = 705307.624993, Y = 2315075.660642
X = 706210.648185, Y = 2315485.579162
X = 706618.085142, Y = 2315402.756529
X = 707122.414486, Y = 2315699.649267
X = 708290.658388, Y = 2315714.203278
X = 709088.197032, Y = 2315920.198698
X = 710001.620203, Y = 2315999.270915
Feature 3:
X = 751384.479962, Y = 2327801.945375
X = 751861.825723, Y = 2326463.745067
X = 753268.564695, Y = 2326214.716424
X = 753837.938446, Y = 2325513.500032
X = 754238.663956, Y = 2325877.973035
X = 754795.623320, Y = 2325575.501475
X = 755068.391100, Y = 2323936.728114
X = 755227.084420, Y = 2323939.165683
X = 755467.258919, Y = 2324010.469480
X = 755821.166009, Y = 2324529.767300
X = 756444.009213, Y = 2323254.741283
X = 757102.909255, Y = 2322527.947202
X = 757911.458876, Y = 2322391.724894
X = 758378.059161, Y = 2321378.013978
X = 758079.503184, Y = 2320974.462655
